block;cfg_no;file;label;red;ir;avg;adc;samples_raw;duration_s;hz;ref_bpm;ref_count;orig_bpm;orig_fft;orig_autocorr;orig_quality;orig_art_ir_pct;orig_pi_ir_pct;orig_diff_bpm;strict_retained_pct;strict_discard_pct;strict_bpm;strict_fft;strict_autocorr;strict_quality;strict_diff_bpm;strict_pi_ir_pct;strict_pi_red_pct;strict_saturation_pct;win15_bpm_median;win15_bpm_iqr;win15_valid;win15_total;strict_score;strict_eval_bpm;strict_eval_diff_bpm;strict_score_eval_fft
20260602_ConVacio;7;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG007_CONFIG_07_-_B3F_AVG4_ADC8192.csv;CONFIG 07 - B3F_AVG4_ADC8192;63;63;4;8192;250;34.091;7.304;;0;82.86;67.47;171.43;41.0;0.0;0.041;;100.0;0.0;82.86;67.78;171.43;39.58;;0.0399;0.017;0.0;82.86;2.86;2;2;38.11;67.78;;32.53
20260602_ConVacio;8;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG008_CONFIG_08_-_B3F_AVG4_ADC16384.csv;CONFIG 08 - B3F_AVG4_ADC16384;63;63;4;16384;250;33.761;7.375;;0;171.43;72.29;171.43;35.82;0.0;0.0434;;97.19;2.81;171.43;72.8;171.43;33.47;;0.0421;0.0192;0.0;;;0;2;21.59;72.8;;7.35
20260602_ConVacio;9;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG009_CONFIG_09_-_B7F_AVG1_ADC8192.csv;CONFIG 09 - B7F_AVG1_ADC8192;127;127;1;8192;1148;33.908;33.827;;0;79.88;75.18;184.09;50.69;0.0;0.045;;98.26;1.74;86.35;73.57;179.1;30.16;;0.0483;0.03;0.0;85.14;6.94;2;3;29.97;73.57;;24.55
20260602_ConVacio;10;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384.csv;CONFIG 10 - B7F_AVG1_ADC16384;127;127;1;16384;1148;33.85;33.885;;0;75.97;71.0;184.08;48.89;0.0;0.0441;;100.0;0.0;71.4;71.4;184.08;32.06;;0.0437;0.0164;0.0;78.08;0.0;1;3;38.46;71.4;;32.86
20260602_ConVacio;11;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG011_CONFIG_11_-_B7F_AVG4_ADC8192.csv;CONFIG 11 - B7F_AVG4_ADC8192;127;127;4;8192;250;36.005;6.916;;0;171.43;48.19;171.43;33.81;5.22;0.1494;;81.53;18.47;171.43;72.8;171.43;43.1;;0.0484;0.0577;0.0;123.21;48.21;2;2;13.05;72.8;;-1.37
20260602_ConVacio;12;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG012_CONFIG_12_-_B7F_AVG4_ADC16384.csv;CONFIG 12 - B7F_AVG4_ADC16384;127;127;4;16384;249;73.997;3.351;;0;171.43;72.58;171.43;24.14;16.94;0.0624;;75.81;24.19;171.43;73.26;171.43;54.27;;0.0435;0.0167;0.0;74.45;0.97;2;2;24.7;73.26;;7.84
20260602_ConVacio;13;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG013_CONFIG_13-B5F_AVG1_ADC8192.csv;CONFIG 13-B5F_AVG1_ADC8192;95;95;1;8192;1148;72.013;15.928;;0;77.35;77.35;183.32;25.96;0.44;0.0665;;97.38;2.62;134.28;76.23;180.61;28.92;;0.0695;0.0423;0.0;177.08;49.07;3;3;21.95;76.23;;7.2
20260602_ConVacio;14;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG014_CONFIG_14-B5F_AVG1_ADC16384.csv;CONFIG 14-B5F_AVG1_ADC16384;95;95;1;16384;1149;33.644;34.122;;0;75.49;71.0;184.07;50.36;0.0;0.0801;;100.0;0.0;75.57;71.4;184.07;50.63;;0.0822;0.0446;0.0;101.33;31.61;2;3;32.34;71.4;;29.08
20260602_ConVacio;15;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192.csv;CONFIG 15-B5F_AVG4_ADC8192;95;95;4;8192;250;33.308;7.476;;0;171.43;81.93;171.43;50.53;0.0;0.0958;;100.0;0.0;171.43;82.85;171.43;51.38;;0.0965;0.0514;0.0;171.43;0.0;2;2;48.39;82.85;;29.91
20260602_ConVacio;16;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG016_CONFIG_09_-_B5F_AVG4_ADC16384.csv;CONFIG 09 - B5F_AVG4_ADC16384;95;95;4;16384;250;34.409;7.236;;0;171.43;86.75;171.43;50.39;0.0;0.1054;;100.0;0.0;171.43;87.87;171.43;51.3;;0.0994;0.0502;0.0;171.43;0.0;2;2;48.43;87.87;;29.94
20260602_SinVacio;1;raw_BLOQUE_16CFG_184_SinVacio_20260602_131643_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192.csv;CONFIG 01 - B1F_AVG1_ADC8192;31;31;1;8192;323;8.073;39.886;;0;67.89;67.89;184.09;34.68;0.0;0.158;;89.3;10.7;136.75;67.99;;44.6;;0.1057;0.0404;0.0;;;0;0;21.96;67.99;;7.01
20260602_SinVacio;1;raw_BLOQUE_16CFG_184_SinVacio_20260602_131701_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192.csv;CONFIG 01 - B1F_AVG1_ADC8192;31;31;1;8192;136;3.38;39.937;;0;;;;2.53;0.0;0.2112;;100.0;0.0;;;;0.0;;;;;;;0;0;10.0;;;8.0
20260602_SinVacio;1;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192.csv;CONFIG 01 - B1F_AVG1_ADC8192;31;31;1;8192;1144;28.655;39.888;;0;141.27;71.6;184.1;31.57;0.0;0.1571;;100.0;0.0;141.27;70.19;184.1;31.59;;0.1591;0.0992;0.0;114.25;0.0;1;3;45.4;70.19;;25.81
20260602_SinVacio;2;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG002_CONFIG_02_-_B1F_AVG1_ADC16384.csv;CONFIG 02 - B1F_AVG1_ADC16384;31;31;1;16384;1148;36.555;31.377;;0;148.53;48.07;182.8;26.44;0.7;0.2305;;97.73;2.27;178.92;82.3;178.92;50.75;;0.2188;0.1373;0.0;173.82;36.34;3;3;37.83;82.3;;19.95
20260602_SinVacio;3;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG003_CONFIG_03_-_B1F_AVG4_ADC8192.csv;CONFIG 03 - B1F_AVG4_ADC8192;31;31;4;8192;250;33.919;7.341;;0;171.43;48.39;171.43;59.15;0.0;0.1928;;100.0;0.0;171.43;47.9;171.43;59.77;;0.1938;0.1211;0.0;166.07;5.36;2;2;51.95;47.9;;30.98
20260602_SinVacio;4;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG004_CONFIG_04_-_B1F_AVG4_ADC16384.csv;CONFIG 04 - B1F_AVG4_ADC16384;31;31;4;16384;251;34.037;7.345;;0;171.43;91.57;171.43;57.83;0.0;0.1779;;97.19;2.81;171.43;45.19;171.43;52.01;;0.2362;0.1432;0.0;160.71;10.71;2;2;42.1;45.19;;21.35
20260602_SinVacio;5;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG005_CONFIG_05_-_B3F_AVG1_ADC8192.csv;CONFIG 05 - B3F_AVG1_ADC8192;63;63;1;8192;1148;36.935;31.054;;0;103.82;100.21;180.35;54.2;2.01;0.2544;;96.77;3.23;176.89;99.51;176.89;50.65;;0.2671;0.1457;0.0;125.93;26.0;3;3;36.99;99.51;;19.28
20260602_SinVacio;6;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG006_CONFIG_06_-_B3F_AVG1_ADC16384.csv;CONFIG 06 - B3F_AVG1_ADC16384;63;63;1;16384;1148;33.578;34.159;;0;45.93;45.93;184.05;26.65;0.0;0.1764;;100.0;0.0;47.59;47.59;184.05;25.64;;0.1786;0.0974;0.0;145.13;10.83;3;3;33.22;47.59;;25.09
20260602_SinVacio;7;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG007_CONFIG_07_-_B3F_AVG4_ADC8192.csv;CONFIG 07 - B3F_AVG4_ADC8192;63;63;4;8192;249;40.058;6.191;;0;171.43;99.19;171.43;53.86;0.0;0.1749;;100.0;0.0;171.43;100.84;171.43;55.09;;0.1674;0.0938;0.0;160.71;10.71;2;2;43.08;100.84;;23.45
20260602_SinVacio;8;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG008_CONFIG_08_-_B3F_AVG4_ADC16384.csv;CONFIG 08 - B3F_AVG4_ADC16384;63;63;4;16384;251;34.208;7.308;;0;171.43;45.78;171.43;57.1;0.0;0.1733;;100.0;0.0;171.43;45.19;171.43;55.54;;0.177;0.102;0.0;171.43;0.0;2;2;54.58;45.19;;34.48
20260602_SinVacio;9;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG009_CONFIG_09_-_B7F_AVG1_ADC8192.csv;CONFIG 09 - B7F_AVG1_ADC8192;127;127;1;8192;1148;34.052;33.684;;0;140.74;48.02;184.05;38.7;0.0;0.1674;;100.0;0.0;140.74;47.59;184.04;38.73;;0.1705;0.1006;0.0;140.75;0.0;1;3;48.4;47.59;;28.57
20260602_SinVacio;10;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384.csv;CONFIG 10 - B7F_AVG1_ADC16384;127;127;1;16384;1148;32.452;35.345;;0;177.62;83.51;177.62;43.68;3.49;0.1425;;93.46;6.54;129.79;56.24;183.87;38.08;;0.1739;0.0695;0.0;113.45;28.81;3;3;26.81;56.24;;10.6
20260602_SinVacio;11;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG011_CONFIG_11_-_B7F_AVG4_ADC8192.csv;CONFIG 11 - B7F_AVG4_ADC8192;127;127;4;8192;250;34.467;7.224;;0;141.67;48.19;171.43;54.71;0.0;0.1693;;100.0;0.0;141.67;47.7;171.43;54.7;;0.1679;0.0925;0.0;160.71;10.71;2;2;42.92;47.7;;23.29
20260602_SinVacio;12;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG012_CONFIG_12_-_B7F_AVG4_ADC16384.csv;CONFIG 12 - B7F_AVG4_ADC16384;127;127;4;16384;249;34.087;7.276;;0;171.43;45.97;171.43;58.36;0.0;0.188;;100.0;0.0;171.43;45.38;171.43;57.96;;0.1904;0.1049;0.0;171.43;0.0;2;2;56.05;45.38;;35.38
20260602_SinVacio;13;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG013_CONFIG_13-B5F_AVG1_ADC8192.csv;CONFIG 13-B5F_AVG1_ADC8192;95;95;1;8192;1149;34.037;33.728;;0;132.91;83.51;184.04;44.69;0.0;0.1717;;100.0;0.0;132.91;84.36;184.03;42.71;;0.17;0.0954;0.0;149.53;6.38;3;3;43.23;84.36;;23.48
20260602_SinVacio;14;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG014_CONFIG_14-B5F_AVG1_ADC16384.csv;CONFIG 14-B5F_AVG1_ADC16384;95;95;1;16384;1147;40.0;28.65;;0;132.94;50.16;184.07;28.43;0.0;0.18;;100.0;0.0;141.25;49.81;184.07;27.77;;0.1834;0.1037;0.0;152.34;7.15;2;3;38.01;49.81;;17.64
20260602_SinVacio;15;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG015_CONFIG_15-B5F_AVG4_ADC8192.csv;CONFIG 15-B5F_AVG4_ADC8192;95;95;4;8192;251;34.701;7.204;;0;171.43;53.01;171.43;46.14;4.02;0.4669;;86.75;13.25;171.43;52.72;171.43;41.84;;0.6704;0.4101;0.0;171.43;0.0;1;2;40.38;52.72;;19.94
20260602_SinVacio;16;raw_BLOQUE_16CFG_184_SinVacio_20260602_131802_CFG016_CONFIG_09_-_B5F_AVG4_ADC16384.csv;CONFIG 09 - B5F_AVG4_ADC16384;95;95;4;16384;249;36.744;6.749;;0;171.43;82.26;171.43;55.81;0.0;0.2042;;100.0;0.0;171.43;83.19;171.43;55.76;;0.2025;0.1185;0.0;171.43;0.0;2;2;56.07;83.19;;34.89
